GeneID,GeneName,p-value,log2FC
ENSG00000010379,SLC6A13,0.321791789,1.5
ENSG00000010404,IDS,2.89e-05,1.2
ENSG00000010438,PRSS3,8.19e-12,6.4
ENSG00000010539,ZNF200,0.975534781,0
ENSG00000010610,CD4,0.215831311,1.6
ENSG00000010626,LRRC23,0.202412912,0.7
ENSG00000010671,BTK,0.457704417,1.1
ENSG00000010704,HFE,0.009766085,0.8
ENSG00000010803,SCMH1,0.034091861,-0.5
ENSG00000010810,FYN,0.010590877,0.8
ENSG00000010818,HIVEP2,0.020626992,0.8
ENSG00000010932,FMO1,1,-0.5
ENSG00000011007,ELOA,0.909353529,0
ENSG00000011009,LYPLA2,0.982298324,0
ENSG00000011021,CLCN6,0.049991161,0.7
ENSG00000011028,MRC2,0.057882128,-0.7
ENSG00000011052,NME1-NME2,1,-0.4
ENSG00000011083,SLC6A7,1,0.2
ENSG00000011105,TSPAN9,0.650086259,-0.2
ENSG00000011114,BTBD7,0.53512129,0.2
ENSG00000011132,APBA3,0.660930414,0.3
ENSG00000011143,MKS1,0.173957964,-0.5
ENSG00000011198,ABHD5,0.002648203,0.9
ENSG00000011201,ANOS1,2.24e-05,4.9
ENSG00000011243,AKAP8L,0.418190276,0.2
ENSG00000011258,MBTD1,0.027890019,-0.8
ENSG00000011260,UTP18,0.003536811,-0.7
ENSG00000011275,RNF216,0.488158818,-0.2
ENSG00000011295,TTC19,0.911632347,0.1
ENSG00000011304,PTBP1,0.009513648,-0.7
ENSG00000011332,DPF1,0.34260557,0.5
ENSG00000011347,SYT7,0.109583503,-0.7
ENSG00000011376,LARS2,0.116748257,-0.4
ENSG00000011405,PIK3C2A,0.47179643,0.2
ENSG00000011422,PLAUR,0.266437656,0.4
ENSG00000011426,ANLN,0.008047909,-1
ENSG00000011451,WIZ,0.634275041,-0.2
ENSG00000011454,RABGAP1,0.05335684,0.6
ENSG00000011465,DCN,0.029090747,2
ENSG00000011478,QPCTL,2.39e-09,-1.8
ENSG00000011485,PPP5C,5.86e-07,-1.3
